,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist,price
47,"(55.658, 55.661]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.016426831709129862,10000000.0
48,"(55.658, 55.661]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.009888923096074705,10000000.0
49,"(55.658, 55.661]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Каховская,0.006183914617788128,10000000.0
50,"(55.658, 55.661]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.005310037664644219,10000000.0
51,"(55.658, 55.661]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.006074248924757916,10000000.0
52,"(55.658, 55.661]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.0057516693229017575,10000000.0
53,"(55.658, 55.661]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.008759663235534171,10000000.0
54,"(55.658, 55.661]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01349847398782296,10000000.0
55,"(55.658, 55.661]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.00726352531489373,10000000.0
56,"(55.658, 55.661]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.005984045454384587,10000000.0
57,"(55.658, 55.661]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Каширская,0.011461186675039968,10000000.0
58,"(55.658, 55.661]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.018063302577324327,10000000.0
59,"(55.658, 55.661]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02031828979023585,10000000.0
60,"(55.658, 55.661]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02473626689700856,10000000.0
61,"(55.658, 55.661]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.030388038765278836,10000000.0
62,"(55.658, 55.661]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.036708076767928685,10000000.0
63,"(55.658, 55.661]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.04265349223685698,10000000.0
64,"(55.658, 55.661]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03834801689787351,10000000.0
65,"(55.658, 55.661]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Марьино,0.030659240042759942,10000000.0
66,"(55.658, 55.661]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Марьино,0.023464632961117515,10000000.0
67,"(55.658, 55.661]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Марьино,0.016543548591512268,41208.0
68,"(55.658, 55.661]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Марьино,0.010454137936717648,10000000.0
69,"(55.658, 55.661]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.003392285365350617,10000000.0
70,"(55.658, 55.661]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.004925200503528491,26694.0
71,"(55.658, 55.661]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.012227330043802772,10000000.0
72,"(55.661, 55.664]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.014697853584800222,10000000.0
73,"(55.661, 55.664]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.01377595368750128,10000000.0
74,"(55.661, 55.664]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.016614057300975194,10000000.0
75,"(55.661, 55.664]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Калужская,0.01853802848200788,10000000.0
76,"(55.661, 55.664]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.011893632750341962,10000000.0
77,"(55.661, 55.664]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.007194338051554292,10000000.0
78,"(55.661, 55.664]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Калужская,0.008634726399839525,10000000.0
79,"(55.661, 55.664]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.006776820788532635,10000000.0
80,"(55.661, 55.664]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.008344177610759356,10000000.0
81,"(55.661, 55.664]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.014346612840664371,10000000.0
82,"(55.661, 55.664]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.019010378744252144,10000000.0
83,"(55.661, 55.664]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.017774161020991178,10000000.0
84,"(55.661, 55.664]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.011994615458618406,10000000.0
85,"(55.661, 55.664]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Каховская,0.00918263578718777,10000000.0
86,"(55.661, 55.664]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.003411231449193923,13860.0
87,"(55.661, 55.664]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004509600869251306,10000000.0
88,"(55.661, 55.664]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.008730503994616747,10000000.0
89,"(55.661, 55.664]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01094859351697645,2700.0
90,"(55.661, 55.664]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.014949541798998118,10000000.0
91,"(55.661, 55.664]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.009697360465619543,10000000.0
92,"(55.661, 55.664]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.008780022779025102,10000000.0
93,"(55.661, 55.664]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Каширская,0.013139208499760269,10000000.0
94,"(55.661, 55.664]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.015085850986933887,10000000.0
95,"(55.661, 55.664]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.017723794740404916,10000000.0
96,"(55.661, 55.664]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.022653540562129447,10000000.0
97,"(55.661, 55.664]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02871816324210328,10000000.0
98,"(55.661, 55.664]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.035338122474180035,10000000.0
99,"(55.661, 55.664]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.040375740240887865,10000000.0
100,"(55.661, 55.664]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03579735185735985,10000000.0
101,"(55.661, 55.664]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Марьино,0.03153425121989647,10000000.0
102,"(55.661, 55.664]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Марьино,0.0245969307028322,10000000.0
103,"(55.661, 55.664]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.017942898316601823,24072.0
104,"(55.661, 55.664]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01047366220574704,10000000.0
105,"(55.661, 55.664]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.00315398161059768,10000000.0
106,"(55.661, 55.664]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.0047641998278801926,10000000.0
107,"(55.661, 55.664]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.012163371243207956,10000000.0
108,"(55.664, 55.666]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.012414785539840956,10000000.0
109,"(55.664, 55.666]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.011308266887556177,10000000.0
110,"(55.664, 55.666]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.014633075548226578,10000000.0
111,"(55.664, 55.666]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Калужская,0.019598686180448747,10000000.0
112,"(55.664, 55.666]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.013487345921269468,10000000.0
113,"(55.664, 55.666]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.009602525709417251,10000000.0
