price,latitude,longitude
20400,55.6339641,37.4445481
18000,55.813566,37.603927
16000,55.8237599,37.5009237
55000,55.7802188,37.7006838
12000,55.857144,37.558858
15000,55.857144,37.558858
76415,55.857144,37.558858
24000,55.7126251,37.644409
29000,55.709449,37.661033
36000,55.770072,37.5708838
32728,55.7126251,37.644409
21000,55.7126251,37.644409
49316,55.7601942,37.5846568
18300,55.86155,37.549812
18000,55.857144,37.558858
24000,55.857144,37.558858
60000,55.7418469,37.653382
17640,55.7480294,37.6905252
16000,55.8230305,37.5141152
21898,55.721077,37.62157
79470,55.7540471,37.620405
30000,55.6448492,37.5101893
24060,55.7480294,37.6905252
41003,55.7495036,37.5995503
62858,55.7449335,37.6248973
13846,55.773611,37.65567
24000,55.70285,37.648465
30000,55.6339641,37.4445481
24000,55.70285,37.648465
18000,55.857144,37.558858
26460,55.7480294,37.6905252
24000,55.70285,37.648465
24000,55.70285,37.648465
30000,55.8237599,37.5009237
11352,55.493157,37.2994941
23000,55.739534,37.5073301
15700,55.637636,37.3055421
15700,55.637636,37.3055421
24200,55.5980357,37.364632
24200,55.5980357,37.364632
22050,55.7480294,37.6905252
22100,55.7073678,37.6510805
25883,55.7393349,37.4929069
24000,55.7255943,37.7752183
30500,55.7775538,37.649522
32787,55.7629475,37.6374133
27170,55.7566089,37.6326112
65455,55.7435631,37.5055565
18700,55.7112907,37.6525028
11500,55.7823761,37.7027674
40800,55.7100776,37.6546933
31700,55.7100776,37.6546933
21952,55.7307495,37.6748882
60000,55.7611754,37.651308
34286,55.7630083,37.6577368
100000,55.816642,37.498617
145162,55.7285949,37.623936
126985,55.7285949,37.623936
114833,55.7285949,37.623936
49412,55.7285949,37.623936
24500,55.769162,37.4945915
48000,55.854062,37.497198
24500,55.769162,37.4945915
48000,55.854062,37.497198
43000,55.856038,37.558921
17500,55.856038,37.558921
40000,55.856038,37.558921
59599,55.7917569,37.5834142
24500,55.769162,37.4945915
18000,55.6089157,37.5353738
30000,55.854062,37.497198
108696,55.8051653,37.5168689
67814,55.7582895,37.4056728
205715,55.762806,37.6152159
97500,55.7832268,37.5977901
30770,55.7639536,37.6576588
18000,55.7738223,37.5331568
17606,55.7307495,37.6748882
18918,55.7307495,37.6748882
72000,55.7639536,37.6576588
10200,55.978921,37.186022
23018,55.6254444,37.3040031
90589,55.7577464,37.4090429
8770,55.853976,37.569351
24000,55.7593263,37.6504045
72000,55.773611,37.65567
90910,55.7666878,37.634253
98182,55.7511835,37.599353
